rand_fixed	completed	activity_code	region	state	ESOffice.x	title	lead_agency	FY	FY_start	FY_concl	start_date	date_formal_consult	due_date	FWS_concl_date	elapsed	date_active_concl	timely_concl	hours_logged	events_logged	formal_consult	consult_type	consult_complex	work_type	work_category	ARRA	datum	lat_dec_deg	long_dec_deg	lat_deg	lat_min	lat_sec	long_deg	long_min	long_sec	UTM_E	UTM_N	UTM_zone	spp_ev_ls	spp_BO_ls	n_spp_eval	n_spp_BO	n_nofx	n_NLAA	n_conc	n_jeop	n_rpa	n_admo	n_tech	staff_lead_hash	staff_support_hash	with_coord	Region	ESOffice.y	Latitude	Longitude	Datum
0.000319495	NA	05E1NY00-2014-I-1107	5	NY	NEW YORK ECOLOGICAL SERVICES FIELD OFFICE	COE BU PN 2005-00510 Zaepful Development	Army Corps of Engineers	2014	2015	2015	10/24/14	NA	11/7/14	10/27/14	3	10/27/14	Yes	No	Yes	No	Informal Consultation	Standard	development - commercial	development	No ARRA funding	WGS84	NA	NA	42	59	24	-78	53	24	NA	NA	NA	"Bat, northern long-eared (Myotis septentrionalis)"	northern long-eared bat (myotis septentrionalis): BO = No Effect - No Concurrence Required; CH = 	1	1	1	0	NA	0	0	0	0	02317399a6cff03e95c95561728cba73	None	TRUE	5	NEW YORK ECOLOGICAL SERVICES FIELD OFFICE	42.98994	-78.89024	NAD27
0.000984	NA	52420-2009-I-1222	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Donora Head Start Facilities Addition	-- OTHER: CONSULTANT --	2009	2009	2009	6/8/09	NA	7/8/09	7/8/09	30	7/8/09	Yes	No	No	No	Informal Consultation	Standard	development	development	No ARRA funding	WGS84	NA	NA	40	10	1.8	-79	51	56.3	NA	NA	NA		no species defined; CH = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	7374dbb1a08095e21f7ea24479eed338	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	40.16709	-79.86587	NAD27
0.001031294	NA	41420-2008-I-0404	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Village of North Palm Beach	Army Corps of Engineers	2008	2008	2008	5/21/08	NA	6/20/08	5/23/08	2	5/23/08	Yes	No	No	No	Informal Consultation	Standard	dredge / excavation - disposal	dredge / excavation	No ARRA funding	NAD83	26.80728	-80.051728	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Manatee, West Indian (Trichechus manatus)"	 	1	0	NA	NA	NA	NA	0	NA	NA	1ecb86ccf87f611912ccf92e638e11b4	None	TRUE	4	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	26.80694	-80.05196	NAD27
0.001174992	NA	04EF1000-2014-I-0131	4	FL	NORTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Calvary Chapel Tower Site - Levy	-- OTHER: CONSULTANT --	2014	2014	2014	3/18/14	NA	4/17/14	3/27/14	9	3/27/14	Yes	No	No	No	Informal Consultation	Standard	communications tower - new construction	communications tower	No ARRA funding	WGS84	29.427314	-82.659292	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Snake, eastern indigo (Drymarchon corais couperi); Stork, wood (Mycteria americana)"	"eastern indigo snake (drymarchon corais couperi): BO = NLAA - Concurrence Provided; CH = , wood stork (mycteria americana): BO = NLAA - Concurrence Provided; CH = )"	2	2	0	2	2	0	0	0	0	e3dfb1835a829a181f79e00214ef0ab2	e574fe44f450874101802cf1df01cd1a	TRUE	4	NORTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	29.42707	-82.65946	NAD27
0.001501634	NA	05E2PA00-2013-I-0071	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	MarkWest Liberty Midstream Burgh to Wack Pipeline (IBCP IBCF)	-- OTHER: CONSULTANT --	2013	2013	2013	12/20/12	NA	1/19/13	1/17/13	28	1/17/13	Yes	No	No	No	Informal Consultation	Standard	oil or gas pipeline	oil or gas pipeline	No ARRA funding	WGS84	40.857804	-80.142624	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bat, Indiana (Myotis sodalis)"	indiana bat (myotis sodalis): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	7374dbb1a08095e21f7ea24479eed338	ae6b1c6028ba5d0b756839ac57566702	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	40.85774	-80.14284	NAD27
0.001971385	NA	43910-2011-I-0296	4	MS	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	"LSBP-25(42), McGuffie Rd"	Federal Highway Administration	2011	2011	2011	1/26/11	NA	2/25/11	2/16/11	21	2/16/11	Yes	No	No	No	Informal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	WGS84	NA	NA	32	26	5.1	-90	22	21.8	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	3af7d82bad9928d4e02419c114e80171	None	TRUE	4	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	32.43461	-90.37263	NAD27
0.002050052	NA	05E2PA00-2012-I-0152	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Ultra Resources Wellsboro Loop Connector Segment 3	-- OTHER: CONSULTANT --	2012	2012	2012	11/17/11	NA	12/17/11	12/16/11	29	12/16/11	Yes	No	No	No	Informal Consultation	Standard	oil or gas pipeline	oil or gas pipeline	No ARRA funding	WGS84	41.754737	-77.396031	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bulrush, Northeastern (Scirpus ancistrochaetus)"	"migratory birds trust resources; CH = NLAA - Concurrence Provided; CH = , northeastern bulrush (scirpus ancistrochaetus): BO = NLAA - Concurrence Provided; CH = )"	2	2	0	2	2	0	0	0	0	7374dbb1a08095e21f7ea24479eed338	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	41.75467	-77.39633	NAD27
0.002769906	NA	51411-2009-I-0140	5	VA	VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE	Route 625   80210-60-135-00625-72205	Army Corps of Engineers	2009	2009	2009	1/13/09	NA	1/13/09	1/27/09	14	1/27/09	No	No	No	No	Informal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	NAD83	NA	NA	37	14	18	-80	36	16	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	d18f62aeec68f53ecf10d0370f726a2f	None	TRUE	5	VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE	37.23821	-80.60466	NAD27
0.002927937	NA	52420-2008-I-1930	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	SR 4024 Segment 0020 Offset 0000 Bridge Replacement	STATE OF PENNSYLVANIA	2008	2008	2008	9/4/08	NA	10/4/08	9/23/08	19	9/23/08	Yes	No	No	No	Informal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	WGS84	NA	NA	41	19	25.9	-80	20	2.7	NA	NA	NA		no species defined; CH = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	cfb4f3f50a50c7eeb747845ec2ca3a42	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	41.32381	-80.3343	NAD27
0.005374196	NA	04ET1000-2015-I-0231	4	TN	TENNESSEE ECOLOGICAL SERVICES FIELD OFFICE	Stantec ONEOKE Portland Hwy 109 Relocation	Federal Energy Regulatory Commission	2015	2015	2015	1/28/15	NA	2/6/15	2/3/15	6	2/3/15	Yes	Yes	No	No	Informal Consultation	Standard	oil or gas - pipeline - onshore - maintenance / modification / replacement / upgrade - below ground	oil or gas	No ARRA funding	NAD83	36.62556	-86.56343	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bat, northern long-eared (Myotis septentrionalis); Bat, Indiana (Myotis sodalis)"	"indiana bat (myotis sodalis): BO = NLAA - Concurrence Provided; CH = , northern long-eared bat (myotis septentrionalis): BO = NLAA - Concurrence Provided; CH = )"	2	2	0	2	2	0	0	0	0	0ac2a059b28b7a722e8cf7f3dd9f77cc	f1853d54f2756b8a69182e2a57d4332b	TRUE	4	TENNESSEE ECOLOGICAL SERVICES FIELD OFFICE	36.62552	-86.56343	NAD27
