Work_type	JM_expect	TK_expect	reconcile
** other **	NA	0	NA
agriculture	0.5	0.5	5
agriculture - concentrated animal feeding operation - cattle	1	1	1
agriculture - concentrated animal feeding operation - hogs	1	1	1
agriculture - concentrated animal feeding operation - other	1	1	1
agriculture - concentrated animal feeding operation - poultry	1	1	1
agriculture - concentrated animal feeding operation - sheep	1	1	1
agriculture - concentrated animal feeding operation (cafo)	1	1	1
agriculture - crop maintenance	0.5	0	0.5
agriculture - crop planting	1	0.5	0.5
agriculture - crop production	1	1	1
agriculture - grazing - ongoing activities	0	0	0
agriculture - grazing - ongoing activities - cattle	0	0	0
agriculture - grazing - ongoing activities - hay	0.5	0	0.5
agriculture - grazing - ongoing activities - horses	0	0	0
agriculture - grazing - ongoing activities - other	0	0	0
agriculture - grazing - ongoing activities - sheep	0	0	0
agriculture - grazing - permit renewal	0	0	0
agriculture - grazing - permit renewal - cattle	0	0	0
agriculture - grazing - permit renewal - horses	0	0	0
agriculture - grazing - permit renewal - sheep	0	0	0
agriculture - irrigation	0.5	0.5	0.5
agriculture - irrigation - ditch/canal - abandonment	1	0	0.5
agriculture - irrigation - ditch/canal - maintenance / modification / replacement / upgrade	0.5	0.5	0.5
agriculture - irrigation - ditch/canal - new construction	1	1	1
agriculture - irrigation - intake - abandonment	0	0	0
agriculture - irrigation - intake - maintenance / modification / replacement / upgrade	0	NA	0
agriculture - irrigation - intake - new construction	0	NA	0
agriculture - irrigation - reservoir - maintenance / modification / replacement / upgrade	0.5	0.5	0.5
agriculture - irrigation - reservoir - new construction	1	1	1
agriculture - other	NA	0	NA
agriculture - pesticide use	NA	0	0
agriculture - weed control / vegetation management	0.5	NA	0.5
animal control	0	0	0
aquaculture	NA	1	1
biological control	0	0	0
bridge - maintenance / modification / replacement / upgrade - federal	0.5	0	0.5
bridge - maintenance / modification / replacement / upgrade - non federal	0.5	0	0.5
bridge - new construction - federal	1	1	1
bridge - new construction - non federal	1	1	1
bridge - replacement	0.5	0	0.5
bridge construction / maintenance	0.5	0.5	0.5
communications tower	1	0.5	0.5
communications tower - co-location	0	NA	0
communications tower - maintenance / modification / replacement / upgrade	0	0	0
communications tower - new construction	1	1	1
dam	0.5	0.5	0.5
dam - maintenance / modification / replacement / upgrade - federal	0.5	0	0.5
dam - maintenance / modification / replacement / upgrade - non federal	0.5	0	0.5
dam - new construction - federal	1	1	1
dam - new construction - non federal	1	1	1
dam - operations - federal	0	NA	0
dam - operations - non federal	0	NA	0
dam - removal - federal	1	1	1
dam - removal - non federal	1	1	1
department of energy operations	0	NA	0
development	0.5	1	1
development - commercial	1	1	1
development - government / military	1	1	1
development - government / municipal	1	1	1
development - residential	1	1	1
development - tribal	1	NA	1
dredge / excavation	0.5	0	0.5
dredge / excavation - backwaters	0	0	0
dredge / excavation - borrow pit	0.5	0	0.5
dredge / excavation - disposal	0	0	0
dredge / excavation - disposal - beneficial use	0	0	0
dredge / excavation - gravel / sand	0.5	0	0.5
