Work_type	JM_expect	TK_expect	reconcile	with_coord	N_consultations
** other **	NA	0	NA	FALSE	2011
** other **	NA	0	NA	TRUE	1436
agriculture	0.5	0.5	0.5	TRUE	397
agriculture	0.5	0.5	0.5	FALSE	260
agriculture - concentrated animal feeding operation - cattle	1	1	1	TRUE	5
agriculture - concentrated animal feeding operation - cattle	1	1	1	FALSE	7
agriculture - concentrated animal feeding operation - hogs	1	1	1	FALSE	2
agriculture - concentrated animal feeding operation - hogs	1	1	1	TRUE	6
agriculture - concentrated animal feeding operation - other	1	1	1	FALSE	4
agriculture - concentrated animal feeding operation - other	1	1	1	TRUE	2
agriculture - concentrated animal feeding operation - poultry	1	1	1	TRUE	276
agriculture - concentrated animal feeding operation - poultry	1	1	1	FALSE	17
agriculture - concentrated animal feeding operation - sheep	1	1	1	TRUE	0
agriculture - concentrated animal feeding operation - sheep	1	1	1	FALSE	1
agriculture - concentrated animal feeding operation (cafo)	1	1	1	TRUE	86
agriculture - concentrated animal feeding operation (cafo)	1	1	1	FALSE	24
agriculture - crop maintenance	0.5	0	0.5	TRUE	28
agriculture - crop maintenance	0.5	0	0.5	FALSE	13
agriculture - crop planting	1	0.5	0.5	TRUE	3
agriculture - crop planting	1	0.5	0.5	FALSE	3
agriculture - crop production	1	1	1	TRUE	33
agriculture - crop production	1	1	1	FALSE	16
agriculture - grazing - ongoing activities	0	0	0	TRUE	30
agriculture - grazing - ongoing activities	0	0	0	FALSE	106
agriculture - grazing - ongoing activities - cattle	0	0	0	TRUE	114
agriculture - grazing - ongoing activities - cattle	0	0	0	FALSE	114
agriculture - grazing - ongoing activities - hay	0.5	0	0.5	FALSE	6
agriculture - grazing - ongoing activities - hay	0.5	0	0.5	TRUE	5
agriculture - grazing - ongoing activities - horses	0	0	0	TRUE	4
agriculture - grazing - ongoing activities - horses	0	0	0	FALSE	2
agriculture - grazing - ongoing activities - other	0	0	0	TRUE	4
agriculture - grazing - ongoing activities - other	0	0	0	FALSE	10
agriculture - grazing - ongoing activities - sheep	0	0	0	TRUE	11
agriculture - grazing - ongoing activities - sheep	0	0	0	FALSE	10
agriculture - grazing - permit renewal	0	0	0	FALSE	82
agriculture - grazing - permit renewal	0	0	0	TRUE	28
agriculture - grazing - permit renewal - cattle	0	0	0	TRUE	30
agriculture - grazing - permit renewal - cattle	0	0	0	FALSE	68
agriculture - grazing - permit renewal - horses	0	0	0	TRUE	3
agriculture - grazing - permit renewal - horses	0	0	0	FALSE	2
agriculture - grazing - permit renewal - sheep	0	0	0	TRUE	2
agriculture - grazing - permit renewal - sheep	0	0	0	FALSE	9
agriculture - irrigation	0.5	0.5	0.5	TRUE	52
agriculture - irrigation	0.5	0.5	0.5	FALSE	37
agriculture - irrigation - ditch/canal - abandonment	1	0	0.5	TRUE	1
agriculture - irrigation - ditch/canal - abandonment	1	0	0.5	FALSE	0
agriculture - irrigation - ditch/canal - maintenance / modification / replacement / upgrade	0.5	0.5	0.5	TRUE	26
agriculture - irrigation - ditch/canal - maintenance / modification / replacement / upgrade	0.5	0.5	0.5	FALSE	10
agriculture - irrigation - ditch/canal - new construction	1	1	1	TRUE	4
agriculture - irrigation - ditch/canal - new construction	1	1	1	FALSE	4
agriculture - irrigation - intake - abandonment	0	0	0	TRUE	3
agriculture - irrigation - intake - abandonment	0	0	0	FALSE	0
agriculture - irrigation - intake - maintenance / modification / replacement / upgrade	0	NA	0	FALSE	13
agriculture - irrigation - intake - maintenance / modification / replacement / upgrade	0	NA	0	TRUE	23
agriculture - irrigation - intake - new construction	0	NA	0	TRUE	8
agriculture - irrigation - intake - new construction	0	NA	0	FALSE	17
agriculture - irrigation - reservoir - maintenance / modification / replacement / upgrade	0.5	0.5	0.5	TRUE	7
agriculture - irrigation - reservoir - maintenance / modification / replacement / upgrade	0.5	0.5	0.5	FALSE	1
agriculture - irrigation - reservoir - new construction	1	1	1	TRUE	1
agriculture - irrigation - reservoir - new construction	1	1	1	FALSE	1
agriculture - other	NA	0	NA	FALSE	73
agriculture - other	NA	0	NA	TRUE	66
agriculture - pesticide use	NA	0	0	TRUE	138
agriculture - pesticide use	NA	0	0	FALSE	137
agriculture - weed control / vegetation management	0.5	NA	0.5	TRUE	22
agriculture - weed control / vegetation management	0.5	NA	0.5	FALSE	51
animal control	0	0	0	TRUE	51
animal control	0	0	0	FALSE	77
aquaculture	NA	1	1	TRUE	125
aquaculture	NA	1	1	FALSE	29
biological control	0	0	0	TRUE	29
biological control	0	0	0	FALSE	50
bridge - maintenance / modification / replacement / upgrade - federal	0.5	0	0.5	TRUE	1797
bridge - maintenance / modification / replacement / upgrade - federal	0.5	0	0.5	FALSE	1297
bridge - maintenance / modification / replacement / upgrade - non federal	0.5	0	0.5	TRUE	1236
bridge - maintenance / modification / replacement / upgrade - non federal	0.5	0	0.5	FALSE	319
bridge - new construction - federal	1	1	1	TRUE	89
bridge - new construction - federal	1	1	1	FALSE	63
bridge - new construction - non federal	1	1	1	FALSE	34
bridge - new construction - non federal	1	1	1	TRUE	86
bridge - replacement	0.5	0	0.5	FALSE	0
bridge - replacement	0.5	0	0.5	TRUE	0
bridge construction / maintenance	0.5	0.5	0.5	TRUE	283
bridge construction / maintenance	0.5	0.5	0.5	FALSE	553
communications tower	1	0.5	0.5	TRUE	621
communications tower	1	0.5	0.5	FALSE	903
communications tower - co-location	0	NA	0	FALSE	105
communications tower - co-location	0	NA	0	TRUE	57
communications tower - maintenance / modification / replacement / upgrade	0	0	0	FALSE	96
communications tower - maintenance / modification / replacement / upgrade	0	0	0	TRUE	139
communications tower - new construction	1	1	1	TRUE	1617
communications tower - new construction	1	1	1	FALSE	1485
dam	0.5	0.5	0.5	TRUE	95
dam	0.5	0.5	0.5	FALSE	70
dam - maintenance / modification / replacement / upgrade - federal	0.5	0	0.5	TRUE	58
dam - maintenance / modification / replacement / upgrade - federal	0.5	0	0.5	FALSE	80
dam - maintenance / modification / replacement / upgrade - non federal	0.5	0	0.5	TRUE	99
dam - maintenance / modification / replacement / upgrade - non federal	0.5	0	0.5	FALSE	44
dam - new construction - federal	1	1	1	TRUE	7
dam - new construction - federal	1	1	1	FALSE	8
dam - new construction - non federal	1	1	1	TRUE	14
dam - new construction - non federal	1	1	1	FALSE	16
dam - operations - federal	0	NA	0	TRUE	9
dam - operations - federal	0	NA	0	FALSE	21
dam - operations - non federal	0	NA	0	TRUE	3
dam - operations - non federal	0	NA	0	FALSE	5
dam - removal - federal	1	1	1	FALSE	18
dam - removal - federal	1	1	1	TRUE	17
dam - removal - non federal	1	1	1	TRUE	32
dam - removal - non federal	1	1	1	FALSE	14
department of energy operations	0	NA	0	TRUE	5
department of energy operations	0	NA	0	FALSE	14
development	0.5	1	1	TRUE	1019
development	0.5	1	1	FALSE	1135
development - commercial	1	1	1	FALSE	1008
development - commercial	1	1	1	TRUE	1809
development - government / military	1	1	1	TRUE	302
development - government / military	1	1	1	FALSE	471
development - government / municipal	1	1	1	TRUE	796
development - government / municipal	1	1	1	FALSE	902
development - residential	1	1	1	TRUE	3713
development - residential	1	1	1	FALSE	1391
development - tribal	1	NA	1	TRUE	115
development - tribal	1	NA	1	FALSE	363
dredge / excavation	0.5	0	0.5	TRUE	449
dredge / excavation	0.5	0	0.5	FALSE	402
dredge / excavation - backwaters	0	0	0	TRUE	135
dredge / excavation - backwaters	0	0	0	FALSE	27
dredge / excavation - borrow pit	0.5	0	0.5	TRUE	23
dredge / excavation - borrow pit	0.5	0	0.5	FALSE	21
dredge / excavation - disposal	0	0	0	TRUE	157
dredge / excavation - disposal	0	0	0	FALSE	79
dredge / excavation - disposal - beneficial use	0	0	0	FALSE	67
dredge / excavation - disposal - beneficial use	0	0	0	TRUE	43
dredge / excavation - gravel / sand	0.5	0	0.5	TRUE	95
dredge / excavation - gravel / sand	0.5	0	0.5	FALSE	54
dredge / excavation - other	NA	0	NA	TRUE	234
dredge / excavation - other	NA	0	NA	FALSE	143
energy - solar	1	1	1	TRUE	0
energy - solar	1	1	1	FALSE	2
federal grant / loan related	0	NA	0	FALSE	634
federal grant / loan related	0	NA	0	TRUE	445
fill	0.5	0.5	0.5	TRUE	34
fill	0.5	0.5	0.5	FALSE	66
fill - floodplain	1	0.5	0.5	TRUE	57
fill - floodplain	1	0.5	0.5	FALSE	45
fill - intertidal / subtidal	0	0	0	TRUE	32
fill - intertidal / subtidal	0	0	0	FALSE	13
fill - lake / reservoir	0.5	1	0.5	TRUE	20
fill - lake / reservoir	0.5	1	0.5	FALSE	12
fill - stream	0.5	1	1	TRUE	111
