Work_type	with_coord	N_consultations	JM_expect	TK_expect	reconcile	N_formal
** other **	FALSE	2011	NA	0	NA	188
** other **	TRUE	1436	NA	0	NA	62
agriculture	FALSE	260	0.5	0.5	0.5	11
agriculture	TRUE	397	0.5	0.5	0.5	9
agriculture - concentrated animal feeding operation - cattle	FALSE	7	1	1	1	0
agriculture - concentrated animal feeding operation - cattle	TRUE	5	1	1	1	1
agriculture - concentrated animal feeding operation - hogs	FALSE	2	1	1	1	0
agriculture - concentrated animal feeding operation - hogs	TRUE	6	1	1	1	1
agriculture - concentrated animal feeding operation - other	FALSE	4	1	1	1	1
agriculture - concentrated animal feeding operation - other	TRUE	2	1	1	1	1
agriculture - concentrated animal feeding operation (cafo)	FALSE	24	1	1	1	1
agriculture - concentrated animal feeding operation (cafo)	TRUE	86	1	1	1	0
agriculture - crop maintenance	FALSE	13	0.5	0	0.5	0
agriculture - crop maintenance	TRUE	28	0.5	0	0.5	2
agriculture - crop production	FALSE	16	1	1	1	2
agriculture - crop production	TRUE	33	1	1	1	2
agriculture - grazing - ongoing activities	FALSE	106	0	0	0	33
agriculture - grazing - ongoing activities	TRUE	30	0	0	0	9
agriculture - grazing - ongoing activities - cattle	FALSE	114	0	0	0	23
agriculture - grazing - ongoing activities - cattle	TRUE	114	0	0	0	38
agriculture - grazing - ongoing activities - hay	FALSE	6	0.5	0	0.5	1
agriculture - grazing - ongoing activities - hay	TRUE	5	0.5	0	0.5	0
agriculture - grazing - ongoing activities - horses	FALSE	2	0	0	0	2
agriculture - grazing - ongoing activities - horses	TRUE	4	0	0	0	3
agriculture - grazing - ongoing activities - other	FALSE	10	0	0	0	1
agriculture - grazing - ongoing activities - other	TRUE	4	0	0	0	0
agriculture - grazing - ongoing activities - sheep	FALSE	10	0	0	0	0
agriculture - grazing - ongoing activities - sheep	TRUE	11	0	0	0	7
agriculture - grazing - permit renewal	FALSE	82	0	0	0	14
agriculture - grazing - permit renewal	TRUE	28	0	0	0	4
agriculture - grazing - permit renewal - cattle	FALSE	68	0	0	0	11
agriculture - grazing - permit renewal - cattle	TRUE	30	0	0	0	7
agriculture - grazing - permit renewal - horses	FALSE	2	0	0	0	1
agriculture - grazing - permit renewal - horses	TRUE	3	0	0	0	2
agriculture - irrigation	FALSE	37	0.5	0.5	0.5	7
agriculture - irrigation	TRUE	52	0.5	0.5	0.5	9
agriculture - irrigation - ditch/canal - abandonment	FALSE	0	1	0	0.5	0
agriculture - irrigation - ditch/canal - abandonment	TRUE	1	1	0	0.5	1
agriculture - irrigation - ditch/canal - maintenance / modification / replacement / upgrade	FALSE	10	0.5	0.5	0.5	6
agriculture - irrigation - ditch/canal - maintenance / modification / replacement / upgrade	TRUE	26	0.5	0.5	0.5	3
agriculture - irrigation - ditch/canal - new construction	FALSE	4	1	1	1	1
