Rand_fix	Completed	activity_code	region	state	ESOffice.x	title	lead_agency	FY	FY_start	FY_concl	start_date	date_formal_consult	due_date	FWS_concl_date	elapsed	date_active_concl	timely_concl	hours_logged	events_logged	formal_consult	consult_type	consult_complex	work_type	work_category	ARRA	datum	lat_dec_deg	long_dec_deg	lat_deg	lat_min	lat_sec	long_deg	long_min	long_sec	UTM_E	UTM_N	UTM_zone	spp_ev_ls	spp_BO_ls	n_spp_eval	n_spp_BO	n_nofx	n_NLAA	n_conc	n_jeop	n_rpa	n_admo	n_tech	staff_lead_hash	staff_support_hash	Region	ESOffice.y	Latitude	Longitude	Datum
0.004747552	NA	81420-2008-F-1500	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	I5 Consumnes River Boulevard Project	Federal Highway Administration	2008	2008	2008	5/27/08	39596	39731	6/13/08	16	6/13/08	Yes	No	No	Yes	Formal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	4257890	633354	10	"Snake, giant garter (Thamnophis gigas); Beetle, valley elderberry longhorn (Desmocerus californicus dimorphus)"	NA	2	0	NA	NA	NA	NA	0	NA	NA	80cfd6bd8044e4f0bf812cf9dba6cf0f	None	8	SACRAMENTO FISH AND WILDLIFE OFFICE	38.45945	-121.47051	NAD27
0.005449224	NA	81420-2008-F-1484-R001	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	13 erosion repair 2008 and 2009	Army Corps of Engineers	2008	2011	2012	5/31/11	NA	40829	3/16/12	NA	3/16/12	No	No	No	Yes	Formal Consultation	Standard	stream / waterbody - modification - bank stabilization / armoring	stream / waterbody	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	4272469	633100	10	"Smelt, delta (Hypomesus transpacificus); Beetle, valley elderberry longhorn (Desmocerus californicus dimorphus)"	NA	2	0	NA	NA	NA	NA	0	NA	NA	d56f30dcc019a7203f97f38ca9f3f7c2	None	8	SACRAMENTO FISH AND WILDLIFE OFFICE	38.59083	-121.47064	NAD27
0.009850378	NA	08EVEN00-2014-F-0482	8	CA	VENTURA FISH AND WILDLIFE OFFICE	"Phillips 66 Pipeline LLC Proposed, Arroyo Grande, CA"	Army Corps of Engineers	2014	2014	2015	8/15/14	41873	42008	4/22/15	243	4/22/15	No	No	Yes	Yes	Formal Consultation	Standard	oil or gas - pipeline - onshore - maintenance / modification / replacement / upgrade - below ground	oil or gas	No ARRA funding	WGS84	35.07464	-120.362451	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Frog, California red-legged (Rana draytonii); Steelhead (Oncorhynchus (=Salmo) mykiss)"	NA	2	0	NA	NA	NA	NA	0	NA	NA	918f6e89c1d301f3ede3b186a33059fd	None	8	VENTURA FISH AND WILDLIFE OFFICE	35.07466	-120.36146	NAD27
0.023848853	NA	81420-2008-F-1418	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	"Woodland Gateway Retail Center Amendment, Yolo County"	-- OTHER NON-FEDERAL AGENCY --	2008	2008	2009	5/7/08	39575	39710	12/4/08	211	12/4/08	No	No	No	Yes	Formal Consultation	Standard	development - commercial	development	No ARRA funding	WGS84	NA	NA	NA	NA	NA	NA	NA	NA	4281087	610724	10	"Snake, giant garter (Thamnophis gigas); Beetle, valley elderberry longhorn (Desmocerus californicus dimorphus)"	"giant garter snake (thamnophis gigas): BO = Non-jeopardy; CH = , valley elderberry longhorn beetle (desmocerus californicus dimorphus): BO = Non-jeopardy; CH = )"	2	2	0	0	NA	0	0	NA	0	aee3905e2d657fd78afdf6b87354fe4e	5427648972bd1b80369a4c84f88dd491	8	SACRAMENTO FISH AND WILDLIFE OFFICE	38.67155	-121.72613	NAD27
0.028189262	NA	14421-2008-F-0009	1	WA	UPPER COLUMBIA RIVER FISH AND WILDLIFE OFFICE	US 12 Tieton River Bridges	Washington Department of Transportation	2008	2007	2008	4/26/07	39198	39333	11/15/07	203	11/15/07	No	No	No	Yes	Formal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	NAD27	NA	NA	NA	NA	NA	NA	NA	NA	5173225	659184	10	"Trout, bull (Salvelinus confluentus)"	bull trout (salvelinus confluentus): BO = Non-jeopardy; CH = NLAA - Concurrence Provided	1	1	0	1	1	0	0	0	0	52c12a60005eb8b98209dff98605c5e2	4195388695fae52044bf766962cf633a	1	UPPER COLUMBIA RIVER FISH AND WILDLIFE OFFICE	46.69379	-120.91684	NAD27
0.036273788	NA	81440-2010-F-0352	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Camp SLO Bridge 109 Removal	Department of Defense (DOD) - National Guard	2010	2011	2011	5/10/11	40673	40808	6/23/11	44	6/23/11	Yes	No	Yes	Yes	Formal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	WGS84	35.192002	-120.431222	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Frog, California red-legged (Rana draytonii)"	NA	1	0	NA	NA	NA	NA	0	NA	NA	01f6221e1e48231681dee88c43c4a273	None	8	VENTURA FISH AND WILDLIFE OFFICE	35.19203	-120.43023	NAD27
0.040676602	NA	04EF2000-2014-F-0010	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Smathers Beach Sand Placement (FEMA Funded)	Federal Emergency Management Agency	2014	2013	2014	7/9/13	41464	41600	12/2/13	146	12/2/13	No	No	Yes	Yes	Formal Consultation	Standard	shoreline / beach protection / renourishment	shoreline / beach protection / renourishment	No ARRA funding	NAD83	24.5506	-81.7755	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Plover, piping (Charadrius melodus); Sea turtle, hawksbill (Eretmochelys imbricata); Sea turtle, leatherback (Dermochelys coriacea); Manatee, West Indian (Trichechus manatus); Sea turtle, green (Chelonia mydas); Sea turtle, Kemps ridley (Lepidochelys kempii); Sea turtle, loggerhead (Caretta caretta)"	"green sea turtle (chelonia mydas): BO = Non-jeopardy; CH = , hawksbill sea turtle (eretmochelys imbricata): BO = Non-jeopardy; CH = , kemps ridley sea turtle (lepidochelys kempii): BO = Non-jeopardy; CH = , leatherback sea turtle (dermochelys coriacea): BO = Non-jeopardy; CH = , loggerhead sea turtle (caretta caretta): BO = Non-jeopardy; CH = , piping plover (charadrius melodus): BO = NLAA - Concurrence Provided; CH = , west indian manatee (trichechus manatus): BO = NLAA - Concurrence Provided; CH = )"	7	7	0	2	2	0	0	0	0	1e4ee448c0a31d84381abe62c2cec4cd	None	4	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	24.55018	-81.77569	NAD27
0.047037494	NA	06E23000-2012-F-0103	6	UT	UTAH ECOLOGICAL SERVICES FIELD OFFICE	Virgin River Questar Gas Line Repair	Army Corps of Engineers	2012	2012	2012	1/30/12	40960	41095	2/29/12	8	2/29/12	Yes	No	No	Yes	Formal Consultation	Standard	oil or gas - pipeline - onshore - maintenance / modification / replacement / upgrade - below ground	oil or gas	No ARRA funding	NAD83	37.06815	-113.5851	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Chub, Virgin River (Gila seminuda(=robusta); Flycatcher, southwestern willow (Empidonax traillii extimus); Woundfin (Plagopterus argentissimus)"	"southwestern willow flycatcher (empidonax traillii extimus): BO = Non-jeopardy / No Adverse Mod; CH = , virgin river chub (gila seminuda (=robusta): BO = Non-jeopardy / No Adverse Mod; CH = , woundfin (plagopterus argentissimus): BO = Non-jeopardy / No Adverse Mod; CH = )"	3	3	0	0	NA	0	0	0	0	587ec480df9e41871d84d1cec86ce2d3	22ab13c565e99511d9c002f37d2dc714	6	UTAH ECOLOGICAL SERVICES FIELD OFFICE	37.06817	-113.58431	NAD27
0.047962369	NA	81420-2009-F-0786	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	White Slough Wildlife Area GGS Study	Fish and Wildlife Service	2009	2009	2009	5/14/09	39947	39965	6/1/09	18	6/1/09	Yes	No	No	Yes	Formal Consultation	Standard	recovery permit - research - collection/handling	recovery permit	No ARRA funding	NAD83	38.12837	-121.45672	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Tadpole shrimp, vernal pool (Lepidurus packardi); Whipsnake (=striped racer), Alameda (Masticophis lateralis euryxanthus); Fairy shrimp, Conservancy (Branchinecta conservatio); Frog, California red-legged (Rana draytonii); Snake, giant garter (Thamnophis gigas); Woodrat, riparian (=San Joaquin Valley) (Neotoma fuscipes riparia); Beetle, valley elderberry longhorn (Desmocerus californicus dimorphus); Fairy shrimp, longhorn (Branchinecta longiantenna); Salamander, California tiger (Ambystoma californiense); Rabbit, riparian brush (Sylvilagus bachmani riparius); Fiddleneck, large-flowered (Amsinckia grandiflora); Smelt, delta (Hypomesus transpacificus); Fox, San Joaquin kit (Vulpes macrotis mutica); Fairy shrimp, vernal pool (Branchinecta lynchi)"	"alameda whipsnake (=striped racer) (masticophis lateralis euryxanthus): BO = No Effect - Concurrence Provided; CH = No Effect - Concurrence Provided, california red-legged frog (rana draytonii): BO = No Effect - Concurrence Provided; CH = No Effect - Concurrence Provided, california tiger salamander (ambystoma californiense): BO = No Effect - Concurrence Provided; CH = No Effect - Concurrence Provided, conservancy fairy shrimp (branchinecta conservatio): BO = No Effect - Concurrence Provided; CH = , delta smelt (hypomesus transpacificus): BO = NLAA - Concurrence Provided; CH = No Effect - Concurrence Provided, giant garter snake (thamnophis gigas): BO = Non-jeopardy; CH = , large-flowered fiddleneck (amsinckia grandiflora): BO = No Effect - Concurrence Provided; CH = No Effect - No Concurrence Required, longhorn fairy shrimp (branchinecta longiantenna): BO = No Effect - Concurrence Provided; CH = , riparian brush rabbit (sylvilagus bachmani riparius): BO = No Effect - Concurrence Provided; CH = , riparian woodrat (=san joaquin valley) (neotoma fuscipes riparia): BO = No Effect - Concurrence Provided; CH = , san joaquin kit fox (vulpes macrotis mutica): BO = No Effect - Concurrence Provided; CH = , valley elderberry longhorn beetle (desmocerus californicus dimorphus): BO = No Effect - Concurrence Provided; CH = , vernal pool fairy shrimp (branchinecta lynchi): BO = No Effect - Concurrence Provided; CH = No Effect - Concurrence Provided, vernal pool tadpole shrimp (lepidurus packardi): BO = No Effect - Concurrence Provided; CH = No Effect - Concurrence Provided)"	14	14	13	1	13	0	0	0	0	601bf960512b36cf074fe4295e26581f	55c6f05311501df50ff309a7cc642f08	8	SACRAMENTO FISH AND WILDLIFE OFFICE	38.12845	-121.45566	NAD27
0.048783944	NA	81440-2008-F-0560	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Vandenberg PXP Pipeline Repair Project Wall Beach	Department of Defense (DOD) - Air Force	2008	2008	2008	4/14/08	39576	39711	8/29/08	113	8/29/08	Yes	No	No	Yes	Formal Consultation	Standard	oil or gas - pipeline - onshore - maintenance / modification / replacement / upgrade - below ground	oil or gas	No ARRA funding	WGS84	34.755301	-120.554225	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Butterfly, El Segundo blue (Euphilotes battoides allyni); Tarplant, Gaviota (Deinandra increscens ssp. villosa)"	NA	2	0	NA	NA	NA	NA	0	NA	NA	cd98627cb9a3d66fe64a857e13d5a265	None	8	VENTURA FISH AND WILDLIFE OFFICE	34.75532	-120.55322	NAD27
