Work_type	expect_visible	
** other **	0	
agriculture	0.5	
agriculture - concentrated animal feeding operation - cattle	1	
agriculture - concentrated animal feeding operation - hogs	1	
agriculture - concentrated animal feeding operation - other	1	
agriculture - concentrated animal feeding operation - poultry	1	
agriculture - concentrated animal feeding operation - sheep	1	
agriculture - concentrated animal feeding operation (cafo)	1	
agriculture - crop maintenance	0	
agriculture - crop planting	0.5	
agriculture - crop production	1	
agriculture - grazing - ongoing activities	0	
agriculture - grazing - ongoing activities - cattle	0	
agriculture - grazing - ongoing activities - hay	0	Don't understand the hay part, since it's not an animal like the others...
agriculture - grazing - ongoing activities - horses	0	
agriculture - grazing - ongoing activities - other	0	
agriculture - grazing - ongoing activities - sheep	0	
agriculture - grazing - permit renewal	0	
agriculture - grazing - permit renewal - cattle	0	
agriculture - grazing - permit renewal - horses	0	
agriculture - grazing - permit renewal - sheep	0	
agriculture - irrigation	0.5	
agriculture - irrigation - ditch/canal - abandonment	0	
agriculture - irrigation - ditch/canal - maintenance / modification / replacement / upgrade	0.5	
agriculture - irrigation - ditch/canal - new construction	1	
agriculture - irrigation - intake - abandonment	0	
agriculture - irrigation - intake - maintenance / modification / replacement / upgrade	NA	
agriculture - irrigation - intake - new construction	NA	
agriculture - irrigation - reservoir - maintenance / modification / replacement / upgrade	0.5	
agriculture - irrigation - reservoir - new construction	1	
agriculture - other	0	
agriculture - pesticide use	0	
agriculture - weed control / vegetation management	NA	
animal control	0	
aquaculture	1	
biological control	0	
bridge - maintenance / modification / replacement / upgrade - federal	0	
bridge - maintenance / modification / replacement / upgrade - non federal	0	
bridge - new construction - federal	1	
bridge - new construction - non federal	1	
bridge - replacement	0	
bridge construction / maintenance	0.5	
communications tower	0.5	
communications tower - co-location	NA	
communications tower - maintenance / modification / replacement / upgrade	0	
communications tower - new construction	1	
dam	0.5	
dam - maintenance / modification / replacement / upgrade - federal	0	
dam - maintenance / modification / replacement / upgrade - non federal	0	
dam - new construction - federal	1	
dam - new construction - non federal	1	
dam - operations - federal	NA	
dam - operations - non federal	NA	
dam - removal - federal	1	
