activity_code	action_found	lat_dec_deg.x	long_dec_deg.x	hab_chg	area	act_start	act_end	completed	earliest_date	relevant_dates	comments	region	state	ESOffice.x	title	lead_agency	FY	start_date	date_formal_consult	due_date	FWS_concl_date	elapsed	consult_complex	work_type	work_category	UTM_zone	with_coord	N_consultations	JM_expect	TK_expect	reconcile	N_formal	formal_in	observed
81420-2008-F-1500	0.5	38.459021	-121.494572	5.0	NA	2011-08-01T00:00:00Z	2012-05-01T00:00:00Z	1.0	1993-06-01	02-2008… 05-2012	Not sure if this is the action, but I5 had new lanes added where there used to be a median	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	I5 Consumnes River Boulevard Project	Federal Highway Administration	2008	2008-05-27	39596	39731	2008-06-13	16	Standard	transportation - road / highway	transportation	10	TRUE	1380	0.5	1.0	0.5	306	formal	Maybe
81420-2008-F-1484-R001	0.0	38.59083	-121.47064	NA	NA	NA	NA	NA	1993-06-01	10-2011… 07-2015	Not entirely sure what to be looking for	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	13 erosion repair 2008 and 2009	Army Corps of Engineers	2008	2011-05-31	NA	40829	2012-03-16	NA	Standard	stream / waterbody - modification - bank stabilization / armoring	stream / waterbody	10	TRUE	516	0.5	0.5	0.5	61	formal	No
08EVEN00-2014-F-0482	0.0	35.07464	-120.362451	NA	NA	NA	NA	NA	1994-04-01	01-2015; 04-2015	No after pictures	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Phillips 66 Pipeline LLC Proposed, Arroyo Grande, CA	Army Corps of Engineers	2014	2014-08-15	41873	42008	2015-04-22	243	Standard	oil or gas - pipeline - onshore - maintenance / modification / replacement / upgrade - below ground	oil or gas	NA	TRUE	443	0.0	0.0	0.0	14	formal	No
81420-2008-F-1418	1.0	38.67155	-121.72613	4.0	25.23	2007-06-01T00:00:00Z	NA	0.5	1993-06-01	05-2008… 04-2015	"Construction began before consultation conclusion date. Title is ""retail center amendment,"" so not sure what that means. Hab_chg and area describe the whole retail center. Looks like there may be more buildings added."	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Woodland Gateway Retail Center Amendment, Yolo County	-- OTHER NON-FEDERAL AGENCY --	2008	2008-05-07	39575	39710	2008-12-04	211	Standard	development - commercial	development	10	TRUE	1809	1.0	1.0	1.0	96	formal	Yes
14421-2008-F-0009	1.0	46.69379	-120.91684	5.0	0.16	2011-04-01T00:00:00Z	2011-04-01T00:00:00Z	1.0	1993-08-01	08-2006; 09-2009; 04-2011	NA	1	WA	UPPER COLUMBIA RIVER FISH AND WILDLIFE OFFICE	US 12 Tieton River Bridges	Washington Department of Transportation	2008	2007-04-26	39198	39333	2007-11-15	203	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	10	TRUE	1797	0.5	0.0	0.5	100	formal	Yes
81440-2010-F-0352	0.0	35.192002	-120.431222	NA	NA	NA	NA	NA	1994-05-01	09-2010; 08-2011; 05-2012…04-2015	NA	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Camp SLO Bridge 109 Removal	Department of Defense (DOD) - National Guard	2010	2011-05-10	40673	40808	2011-06-23	44	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	NA	TRUE	1797	0.5	0.0	0.5	100	formal	No
04EF2000-2014-F-0010	0.5	24.549619	-81.780025	5.0	0.88	2014-12-01T00:00:00Z	2014-12-01T00:00:00Z	1.0	1994-01-01	41334	Think it's the stretch of beach left of the given coordinates?	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Smathers Beach Sand Placement (FEMA Funded)	Federal Emergency Management Agency	2014	2013-07-09	41464	41600	2013-12-02	146	Standard	shoreline / beach protection / renourishment	shoreline / beach protection / renourishment	NA	TRUE	179	0.5	0.5	0.5	89	formal	Maybe
06E23000-2012-F-0103	0.0	37.06815	-113.5851	NA	NA	NA	NA	NA	1993-06-01	10-2011; 05-2013	Very likely photos missed the action	6	UT	UTAH ECOLOGICAL SERVICES FIELD OFFICE	Virgin River Questar Gas Line Repair	Army Corps of Engineers	2012	2012-01-30	40960	41095	2012-02-29	8	Standard	oil or gas - pipeline - onshore - maintenance / modification / replacement / upgrade - below ground	oil or gas	NA	TRUE	443	0.0	0.0	0.0	14	formal	No
81420-2009-F-0786	0.0	38.12837	-121.45672	NA	NA	NA	NA	NA	1993-06-01	07-2008; 06-2009;09-2009…	Middle of agricultural fields	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	White Slough Wildlife Area GGS Study	Fish and Wildlife Service	2009	2009-05-14	39947	39965	2009-06-01	18	Standard	recovery permit - research - collection/handling	recovery permit	NA	TRUE	43	0.0	0.0	0.0	29	formal	No
81440-2008-F-0560	0.0	34.755301	-120.554225	NA	NA	NA	NA	NA	1994-09-01	12-2005; 03-2009… 06-2012	NA	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Vandenberg PXP Pipeline Repair Project Wall Beach	Department of Defense (DOD) - Air Force	2008	2008-04-14	39576	39711	2008-08-29	113	Standard	oil or gas - pipeline - onshore - maintenance / modification / replacement / upgrade - below ground	oil or gas	NA	TRUE	443	0.0	0.0	0.0	14	formal	No
81440-2008-F-0219	0.0	34.97344	-114.67304	NA	NA	NA	NA	NA	1994-05-01	06-2007… 01-2015	Hard to tell because images before consultation date are grainy	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Needles Highway Improvement Project, San Bernardino County	Bureau of Indian Affairs	2008	2007-12-14	39476	39611	2008-05-07	99	Standard	transportation - road / highway	transportation	11	TRUE	1380	0.5	1.0	0.5	306	formal	No
08EVEN00-2012-F-0114	1.0	34.427133	-119.528224	3.0	0.11	2012-08-01T00:00:00Z	2013-04-01T00:00:00Z	1.0	1994-09-01	04-2011; 08-2012; 04-2013	Larger area if include road work but not all nat --> dev	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Rancho Monte Alegre Access Rd and Bridge Project, CVWD	Army Corps of Engineers	2012	2011-12-14	40891	41026	2012-02-09	57	Standard	bridge construction / maintenance	bridge construction / maintenance	NA	TRUE	283	0.5	0.5	0.5	73	formal	Yes
81420-2009-F-0143	0.5	35.224479	-119.382972	5.0	10.65	2013-07-01T00:00:00Z	2013-07-01T00:00:00Z	1.0	1994-05-01	04-2008; 6-2009; 10-2009; 04-2011; 08-2012; 07-2013	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	State Route 119 four-lane bypass, also known as Cherry Ave, Kern County, CA	California Dept. of Transportation District 6	2009	2008-08-25	39765	39900	2009-03-17	124	Standard	transportation - road / highway	transportation	11	TRUE	1380	0.5	1.0	0.5	306	formal	Maybe
41910-2010-F-0017	1.0	28.9192	-81.2312	3.0	2.63	2010-12-01T00:00:00Z	2010-12-01T00:00:00Z	0.5	1995-02-01	01-2009… 01-2014	Water filled in	4	FL	NORTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	KB Home Umbrulla HCP - Volusia	-- OTHER: CONSULTANT --	2010	2009-10-08	40129	40264	2010-02-16	96	Standard	development	development	NA	TRUE	1019	0.5	1.0	1.0	32	formal	Yes
01EWFW00-2012-F-0244	0.0	47.33872	-123.12784	NA	NA	NA	NA	NA	1990-07-01	09-2011; 05-2013	NA	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	Skokomish Tribe Skokomish Estuary Restoration Phase 3	Army Corps of Engineers	2012	2012-05-29	41058	41193	2012-07-26	58	Standard	bridge - new construction - federal	bridge	10	TRUE	89	1.0	1.0	1.0	14	formal	No
08EVEN00-2015-F-0160	0.0	35.274622	-120.669748	NA	NA	NA	NA	NA	1989-06-01	08-2013; 04-2015	NA	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Marsh Street Drive Bridge Replacement Project, Federal Aid Project No. BRLS-5016(050)	California Dept. of Transportation	2015	2015-03-09	42072	42207	2015-03-11	2	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	NA	TRUE	1797	0.5	0.0	0.5	100	formal	No
81430-2010-F-0410-R002	1.0	33.395244	-117.535146	3.0	3.03	2013-11-01T00:00:00Z	NA	0.0	1995-10-01	09-2010; 11-2013; 04-2014	1995 was agricultural field. Looks abandoned since at least 2002 till 2013	8	CA	CARLSBAD FISH AND WILDLIFE OFFICE	[MCBCP] BUI P-1043 CERS 1	Department of Defense (DOD) - Marine Corps	2010	2012-01-13	40921	41056	2012-04-09	87	Standard	development - government / military	development	NA	TRUE	302	1.0	1.0	1.0	50	formal	Yes
08EVEN00-2013-F-0113	0.0	35.3246	-120.635948	NA	NA	NA	NA	NA	1989-06-01	04-2013; 08-2013; 04-2015	NA	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Presidio of Monterey Real Property Master Plan	Department of Defense (DOD) - Army	2013	2013-01-22	41296	41431	2013-07-18	177	Standard	military - operations	military	NA	TRUE	88	0.0	NA	0.0	14	formal	No
81420-2009-F-0117	0.0	37.72596	-121.99723	NA	NA	NA	NA	NA	1939-12-01	11-2009… 09-2015	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Road Repair, Eden Canyon Road, Alameda County	Federal Emergency Management Agency	2009	2008-11-03	40023	40158	2010-03-04	218	Standard	transportation - road / highway	transportation	10	TRUE	1380	0.5	1.0	0.5	306	formal	No
04EF2000-2014-F-0027	0.0	26.73105	-80.03497	NA	NA	NA	NA	NA	1995-01-01	41640	No after pictures	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Midtown Reaches 3 &amp; 4 Sand Placement	Army Corps of Engineers	2014	2013-12-16	41636	41710	2014-02-25	59	Standard	shoreline / beach protection / renourishment	shoreline / beach protection / renourishment	NA	TRUE	179	0.5	0.5	0.5	89	formal	No
13260-2008-F-0095	1.0	48.051032	-119.681866	3.0	0.04	2009-09-01T00:00:00Z	2009-09-01T00:00:00Z	1.0	1991-07-01	08-2006; 09-2009	~1 km away from given coord. Screenshots.	1	WA	CENTRAL WASHINGTON FIELD OFFICE	Downing Village OWS       RGP-5	Army Corps of Engineers	2008	2008-07-03	39632	39646	2008-07-07	4	Programmatic Project-Level	private dock / pier - new construction	private dock / pier	NA	TRUE	406	1.0	1.0	1.0	34	formal	Yes
41420-2008-F-0001	0.0	27.744823	-80.386396	NA	NA	NA	NA	NA	1994-03-01	04-2008;11-2008; 12-2010… 12-2014	NA	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Baytree and Marbrissa Dune Restoration	Army Corps of Engineers	2008	2007-10-01	39356	39731	2008-10-10	375	Standard	shoreline / beach protection / renourishment	shoreline / beach protection / renourishment	NA	TRUE	179	0.5	0.5	0.5	89	formal	No
13410-2011-F-0195	0.0	47.57053	-121.55447	NA	NA	NA	NA	NA	1994-08-01	09-2009… 06-2015	NA	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	WFWO Rainy Mine CERCLA Project-BO	Forest Service	2011	2011-03-29	40631	40766	2011-07-14	107	Standard	transport - road / highway - maintenance / modification / replacement / upgrade - federal	transportation	10	TRUE	1434	0.5	0.5	0.5	105	formal	No
08ESMF00-2015-F-0296	0.0	38.8129	-121.451329	NA	NA	NA	NA	NA	1993-05-01	42095	No after pictures	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Brewer Road Bridge Replacement at Pleasant Grove Creek, Placer County	California Dept. of Transportation District 3	2015	2015-03-30	42093	42228	2015-05-06	37	Standard	bridge construction / maintenance	bridge construction / maintenance	NA	TRUE	283	0.5	0.5	0.5	73	formal	No
13410-2010-F-0221	0.0	47.17418	-122.02204	NA	NA	NA	NA	NA	1994-07-01	09-2009… 04-2015	NA	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	WSDOT WWA Prog. - SR 410 White River Bridge (410/101) Scour Repair	Federal Highway Administration	2010	2010-03-10	40247	40382	2010-04-09	30	Programmatic Project-Level	bridge - maintenance / modification / replacement / upgrade - federal	bridge	10	TRUE	1797	0.5	0.0	0.5	100	formal	No
03E15000-2014-F-1289	0.0	39.1606	-84.4024	NA	NA	NA	NA	NA	1994-03-01	10-2013; 06-2014; 10-2015	NA	3	OH	COLUMBUS ECOLOGICAL SERVICES FIELD OFFICE	ODOT-HAM-32F-0.00 / Eastern Corridor Segment I (Red Bank Road) (PID 86461) Hamilton County	Federal Highway Administration	2014	2014-06-17	41807	41942	2014-06-30	13	Programmatic Project-Level	transport - road / highway - maintenance / modification / replacement / upgrade - federal	transportation	NA	TRUE	1434	0.5	0.5	0.5	105	formal	No
81420-2009-F-0300	0.0	38.94	-121.54246	NA	NA	NA	NA	NA	1998-09-01	02-2009… 04-2015	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	State Route 70 Upgrade project, Yuba and Sutter counties	California Dept. of Transportation District 3	2009	2008-12-24	39821	39987	2009-06-15	158	Standard	transportation - road / highway	transportation	10	TRUE	1380	0.5	1.0	0.5	306	formal	No
81420-2009-F-1139	0.0	38.888694	-121.451849	NA	NA	NA	NA	NA	1993-05-01	04-2010… 04-2015	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Brewer Road Bridge at Markham Ravine Replacement, Placer County	California Dept. of Transportation District 3	2009	2009-08-13	40161	40296	2010-06-11	179	Standard	bridge construction / maintenance	bridge construction / maintenance	10	TRUE	283	0.5	0.5	0.5	73	formal	No
13410-2011-F-0451	0.5	47.07695	-121.587914	3.0	0.07	2012-07-01T00:00:00Z	2012-07-01T00:00:00Z	1.0	2003-07-01	09-2009; 11-2011; 07-2012; 07-2014	NA	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	WFWO MBS CY 2011 Hucklegerry Bridge	Forest Service	2011	2011-04-10	40643	40703	2011-04-14	4	Standard	transport - road / highway - maintenance / modification / replacement / upgrade - federal	transportation	10	TRUE	1434	0.5	0.5	0.5	105	formal	Maybe
01EWFW00-2012-F-0096	1.0	47.4797	-124.03291	3.0	75.51	2013-10-01T00:00:00Z	2013-10-01T00:00:00Z	1.0	1990-06-01	11-2011; 06-2012; 10-2013	NA	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	QIN Allen Ebling Cedar Salvage PCF	Bureau of Indian Affairs	2012	2012-01-06	40914	41007	2012-01-11	5	Programmatic Project-Level	forestry - timber sale	forestry	10	TRUE	203	0.0	NA	0.5	95	formal	Yes
13260-2009-F-0095	0.0	47.35	-120.35	NA	NA	NA	NA	NA	1990-06-01	08-2006; 09-2009; 08-2011… 05-2015	NA	1	WA	CENTRAL WASHINGTON FIELD OFFICE	Blackbird Island Engineered Log Jam	Army Corps of Engineers	2009	2009-05-12	39945	39975	2009-05-12	NA	Programmatic Project-Level	stream restoration / enhancement	stream restoration / enhancement	NA	TRUE	457	0.5	0.5	0.5	89	formal	No
81420-2009-F-0890-R001	0.0	38.68387	-121.62976	NA	NA	NA	NA	NA	1993-06-01	10-2009… 07-2015	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	SAFCA NLIP Phase 3	Army Corps of Engineers	2009	2009-12-03	40151	40285	2010-02-03	61	Programmatic Project-Level	levees / dikes	levees / dikes	10	TRUE	89	0.5	0.0	0.5	51	formal	No
08ESMF00-2012-F-0661-R001	1.0	38.81074	-121.48255	5.0	0.2	2012-08-01T00:00:00Z	2013-04-01T00:00:00Z	1.0	1993-05-01	08-2012; 04-2013	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Pleasant Grove at Pleasant Grove Creek Bridge Replacement Project	California Dept. of Transportation District 4	2012	2012-09-24	41176	41311	2012-09-27	3	Standard	transportation - road / highway	transportation	10	TRUE	1380	0.5	1.0	0.5	306	formal	Yes
81420-2011-F-0166	0.0	37.95739	-122.57297	NA	NA	NA	NA	NA	1987-06-01	05-2012; 04-2013; 06-2013; 03-2015	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Phoenix Lake Culvert Replacement Project	Army Corps of Engineers	2011	2010-07-22	40456	40591	2012-06-13	617	Standard	stream / waterbody - modification - culvert / pipe	stream / waterbody	10	TRUE	694	0.0	0.0	0.0	37	formal	No
81420-2008-F-1972	1.0	38.238636	-122.094089	4.0	2.0	2012-08-01T00:00:00Z	2014-05-01T00:00:00Z	1.0	1993-06-01	08-2012; 09-2012; 01-2013; 04-2013; 06-2013	Part of road construction that had started since at least 5/2012. Area could be twice as large if considered in this consultation	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Meyer Cookware Phase II	Army Corps of Engineers	2008	2008-08-28	39688	39823	2008-10-06	39	Standard	development - commercial	development	NA	TRUE	1809	1.0	1.0	1.0	96	formal	Yes
41420-2010-F-0243	0.0	27.470394	-81.371047	NA	NA	NA	NA	NA	1994-03-01	03-2008; 12-2010; 01-2011; 02-2014	NA	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	TE206744 Gunter permit application consultation	Fish and Wildlife Service	2010	2010-05-25	40324	40459	2010-05-26	NA	Standard	recovery permit - research - collection/handling	recovery permit	NA	TRUE	43	0.0	0.0	0.0	29	formal	No
81420-2010-F-0814	0.0	39.14878	-121.56366	NA	NA	NA	NA	NA	1998-08-01	07-2010; 09-2010; 06-2011; 05-2013; 04-2015	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Upper Yuba Levee Improvement Project	Army Corps of Engineers	2010	2010-06-11	40340	40475	2010-08-16	66	Standard	levees / dikes	levees / dikes	10	TRUE	89	0.5	0.0	0.5	51	formal	No
41420-2011-F-0105	0.0	26.464	-80.057	NA	NA	NA	NA	NA	1995-01-01	03-2011; 01-2014	Don't think so but not sure. In 2014 N end lost sand while S end gained sand. Screenshots	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	City of Delray Beach Sand Placement	Army Corps of Engineers	2011	2011-03-03	40605	40817	2011-09-30	211	Standard	shoreline / beach protection / renourishment	shoreline / beach protection / renourishment	NA	TRUE	179	0.5	0.5	0.5	89	formal	No
43440-2010-F-0656	1.0	29.09403	-90.60992	1.0	2.96	2010-04-01T00:00:00Z	2010-04-01T00:00:00Z	1.0	1989-11-01	02-2006; 04-2010; 11-2012; 01-2015	NA	4	LA	LOUISIANA ECOLOGICAL SERVICES FIELD OFFICE	Conclusion of Formal Consult.: BUDM, HNC, Restoration of Wine Island Project	Army Corps of Engineers	2010	2009-11-03	40120	40285	2009-12-17	44	Standard	dredge / excavation	dredge / excavation	15	TRUE	449	0.5	0.0	0.5	48	formal	Yes
64413-2010-F-0088	1.0	44.378194	-96.526306	1.0	0.1	2012-10-01T00:00:00Z	2012-10-01T00:00:00Z	1.0	1991-10-01	04-2007;12-2010; 10-2012; 08-2015	Screenshots	6	SD	SOUTH DAKOTA ECOLOGICAL SERVICES FIELD OFFICE	COE Deer Creek Stream Crossing - FORMAL	Army Corps of Engineers	2010	2010-01-29	40207	40342	2010-06-04	126	Standard	stream / waterbody - modification - culvert / pipe	stream / waterbody	NA	TRUE	694	0.0	0.0	0.0	37	formal	Yes
52420-2008-F-0251	1.0	41.202583	-75.978028	3.0	24.12	2014-05-01T00:00:00Z	NA	0.0	1993-04-01	09-2012; 05-2014	Screenshots	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	SR 3046 Section 301 South Valley Parkway, Luzerne	Federal Highway Administration	2008	2007-10-31	40962	41097	2012-10-12	232	Standard	transport - road / highway - new construction - federal	transportation	NA	TRUE	171	1.0	1.0	1.0	14	formal	Yes
81420-2009-F-0372	0.0	39.01035	-121.59581	NA	NA	NA	NA	NA	1999-07-01	05-2008; 02-2009; 06-2009… 04-2015	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Feather River Levee Setback	Army Corps of Engineers	2009	2009-01-26	39839	39850	2009-02-06	11	Programmatic Project-Level	levees / dikes	levees / dikes	10	TRUE	89	0.5	0.0	0.5	51	formal	No
81440-2008-F-0610	0.0	34.749261	-120.517325	NA	NA	NA	NA	NA	1994-09-01	09-2006; 03-2009; 06-2009; 10-2011	NA	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Final BO for the Cathodic Testing of a Gaseous Nitrogen Pipeline	Department of Defense (DOD) - Air Force	2008	2008-07-31	39660	39795	2008-12-10	132	Standard	military operations / maneuvers	military operations / maneuvers	NA	TRUE	130	0.0	NA	0.0	37	formal	No
42410-2008-F-0260	1.0	34.913083	-82.425722	3.0	8.6	2012-11-01T00:00:00Z	NA	0.0	1994-02-01	04-2008; 09-2010; 06-2011; 10-2011; 11-2012; 04-2014; 10-2015	NA	4	SC	SOUTH CAROLINA ECOLOGICAL SERVICES	Centennial American Properties	Army Corps of Engineers	2008	2008-01-30	39500	39635	2008-05-12	80	Standard	development - commercial	development	NA	TRUE	1809	1.0	1.0	1.0	96	formal	Yes
